"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2017";"0000";"20,3";"21,0";"20,3";"51,0";"51,0";"48,0";"9,9";"10,0";"9,6";"931,9";"931,9";"931,7";"1,4";"274,0";"3,3";"";"0,0"
"01/07/2017";"0100";"19,7";"20,4";"19,0";"54,0";"56,0";"51,0";"10,2";"10,3";"9,9";"932,1";"932,1";"931,9";"1,2";"284,0";"2,9";"";"0,0"
"01/07/2017";"0200";"18,9";"19,7";"18,8";"58,0";"59,0";"54,0";"10,5";"10,7";"10,2";"932,1";"932,1";"932,0";"2,1";"283,0";"3,5";"";"0,0"
"01/07/2017";"0300";"18,2";"19,0";"18,2";"60,0";"60,0";"57,0";"10,3";"10,6";"10,2";"932,2";"932,2";"932,0";"1,6";"278,0";"3,5";"";"0,0"
"01/07/2017";"0400";"17,4";"18,5";"16,7";"64,0";"66,0";"59,0";"10,6";"10,7";"10,1";"932,2";"932,2";"932,1";"0,6";"301,0";"2,8";"";"0,0"
"01/07/2017";"0500";"16,6";"17,5";"16,6";"68,0";"68,0";"64,0";"10,7";"10,8";"10,4";"932,0";"932,2";"932,0";"0,7";"17,0";"1,3";"";"0,0"
"01/07/2017";"0600";"15,6";"16,7";"15,6";"72,0";"72,0";"68,0";"10,6";"10,8";"10,5";"932,0";"932,0";"931,8";"1,0";"185,0";"1,6";"";"0,0"
"01/07/2017";"0700";"15,4";"15,8";"15,2";"76,0";"76,0";"72,0";"11,2";"11,2";"10,5";"932,1";"932,1";"932,0";"1,4";"182,0";"3,1";"";"0,0"
"01/07/2017";"0800";"15,3";"15,4";"14,8";"85,0";"85,0";"76,0";"12,7";"12,7";"11,2";"932,1";"932,2";"932,1";"1,4";"167,0";"4,7";"";"0,0"
"01/07/2017";"0900";"15,6";"15,6";"15,3";"85,0";"85,0";"84,0";"13,0";"13,0";"12,7";"932,4";"932,4";"932,1";"1,2";"166,0";"3,3";"";"0,0"
"01/07/2017";"1000";"15,9";"15,9";"15,6";"82,0";"85,0";"81,0";"12,8";"13,0";"12,7";"932,9";"932,9";"932,4";"1,3";"175,0";"4,8";"4,20";"0,0"
"01/07/2017";"1100";"16,6";"16,6";"15,9";"81,0";"82,0";"81,0";"13,3";"13,4";"12,8";"933,5";"933,5";"932,9";"0,1";"163,0";"2,7";"203,60";"0,0"
