"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2015";"0000";"20,2";"20,4";"20,2";"61,0";"61,0";"60,0";"12,4";"12,4";"12,2";"928,5";"928,5";"927,9";"1,2";"344,0";"3,9";"";"0,0"
"01/07/2015";"0100";"19,5";"20,2";"19,3";"63,0";"64,0";"61,0";"12,3";"12,4";"12,1";"928,9";"928,9";"928,5";"0,8";"345,0";"3,1";"";"0,0"
"01/07/2015";"0200";"19,2";"19,5";"19,1";"63,0";"64,0";"63,0";"12,1";"12,3";"12,1";"928,8";"928,9";"928,8";"0,0";"14,0";"3,0";"";"0,0"
"01/07/2015";"0300";"19,3";"19,3";"18,9";"64,0";"65,0";"63,0";"12,3";"12,3";"12,0";"928,3";"928,8";"928,3";"1,7";"341,0";"3,8";"";"0,0"
"01/07/2015";"0400";"19,1";"19,3";"18,8";"64,0";"65,0";"64,0";"12,1";"12,3";"12,0";"928,1";"928,4";"928,1";"0,6";"320,0";"3,8";"";"0,0"
"01/07/2015";"0500";"19,3";"19,8";"19,0";"61,0";"64,0";"60,0";"11,7";"12,2";"11,6";"928,5";"928,5";"928,0";"1,7";"256,0";"5,5";"";"0,0"
"01/07/2015";"0600";"18,7";"19,6";"18,7";"65,0";"65,0";"61,0";"12,1";"12,1";"11,8";"928,8";"928,8";"928,4";"3,3";"296,0";"7,8";"";"0,0"
"01/07/2015";"0700";"17,8";"18,7";"17,8";"69,0";"69,0";"65,0";"12,1";"12,2";"12,0";"928,7";"928,8";"928,6";"1,1";"274,0";"7,6";"";"0,0"
"01/07/2015";"0800";"17,4";"17,8";"17,4";"71,0";"71,0";"69,0";"12,0";"12,1";"12,0";"929,3";"929,3";"928,7";"2,7";"292,0";"5,5";"";"0,0"
"01/07/2015";"0900";"16,5";"17,4";"16,4";"78,0";"78,0";"71,0";"12,6";"12,6";"12,0";"929,3";"929,6";"929,3";"1,7";"337,0";"6,7";"";"0,0"
"01/07/2015";"1000";"16,6";"16,8";"16,5";"72,0";"78,0";"72,0";"11,5";"12,6";"11,4";"929,0";"929,6";"928,9";"2,5";"308,0";"7,6";"5,50";"0,0"
"01/07/2015";"1100";"17,4";"17,5";"16,6";"70,0";"72,0";"69,0";"11,8";"11,9";"11,5";"929,5";"929,5";"929,0";"0,1";"274,0";"5,8";"202,50";"0,0"
"01/07/2015";"1200";"17,5";"17,8";"17,3";"70,0";"71,0";"70,0";"12,0";"12,5";"11,8";"930,6";"930,6";"929,5";"2,3";"287,0";"5,2";"486,80";"0,0"
"01/07/2015";"1300";"19,0";"19,0";"17,5";"64,0";"70,0";"64,0";"11,9";"12,2";"11,6";"931,0";"931,0";"930,6";"1,7";"283,0";"5,2";"1163,40";"0,0"
"01/07/2015";"1400";"19,3";"19,5";"18,7";"63,0";"65,0";"62,0";"12,0";"12,2";"11,5";"931,0";"931,1";"930,9";"2,7";"291,0";"4,9";"884,40";"0,0"
"01/07/2015";"1500";"19,5";"19,7";"19,0";"64,0";"64,0";"62,0";"12,5";"12,5";"11,7";"930,4";"931,1";"930,4";"1,7";"260,0";"6,0";"728,20";"0,0"
"01/07/2015";"1600";"19,8";"20,4";"19,2";"63,0";"65,0";"61,0";"12,4";"13,0";"12,2";"929,8";"930,4";"929,7";"1,2";"276,0";"4,0";"791,90";"0,0"
"01/07/2015";"1700";"18,5";"19,9";"17,9";"74,0";"75,0";"62,0";"13,7";"13,9";"12,2";"929,4";"929,8";"929,4";"1,5";"295,0";"6,3";"317,80";"0,6"
"01/07/2015";"1800";"18,5";"18,5";"17,9";"75,0";"77,0";"73,0";"14,0";"14,4";"13,3";"929,0";"929,4";"929,0";"1,5";"328,0";"5,0";"583,90";"0,4"
"01/07/2015";"1900";"18,3";"18,5";"18,2";"74,0";"76,0";"74,0";"13,5";"14,0";"13,5";"929,2";"929,2";"929,0";"2,7";"314,0";"6,6";"363,70";"0,0"
"01/07/2015";"2000";"18,2";"18,4";"18,2";"75,0";"75,0";"74,0";"13,7";"13,7";"13,5";"929,5";"929,6";"929,2";"1,0";"270,0";"4,9";"51,30";"0,0"
"01/07/2015";"2100";"16,5";"18,2";"16,5";"87,0";"87,0";"75,0";"14,3";"14,3";"13,7";"930,1";"930,1";"929,5";"1,5";"289,0";"4,7";"";"0,6"
"01/07/2015";"2200";"16,9";"16,9";"16,5";"88,0";"89,0";"87,0";"14,9";"14,9";"14,3";"930,2";"930,2";"930,1";"1,5";"298,0";"3,6";"";"0,2"
"01/07/2015";"2300";"16,9";"17,0";"16,8";"88,0";"88,0";"87,0";"14,9";"14,9";"14,8";"930,5";"930,5";"930,1";"0,5";"291,0";"3,7";"";"0,0"
"02/07/2015";"0000";"16,7";"16,9";"16,7";"88,0";"88,0";"87,0";"14,8";"14,9";"14,7";"930,8";"930,8";"930,5";"0,4";"185,0";"2,0";"";"0,0"
"02/07/2015";"0100";"16,4";"16,8";"16,4";"87,0";"88,0";"87,0";"14,3";"14,8";"14,2";"931,0";"931,1";"930,8";"1,1";"124,0";"3,8";"";"0,0"
"02/07/2015";"0200";"16,5";"16,6";"16,4";"85,0";"87,0";"85,0";"14,1";"14,3";"14,1";"931,0";"931,1";"930,9";"1,1";"149,0";"4,5";"";"0,0"
